Mask,SN,X_n (m) (m),Y_n (m) (m),POMKH,cv_rabi_96_3-POMKH-Krig,cv_rabi_96_3-POMKH-Var,kme,ev,ratio
0,99,588834.244,3214176.504,7.32,8.49570278,5.13552704,-1.17570278,1.382277027,0.269159721
0,100,538633.5942,3224669.75,14.8,12.38634508,4.63474913,2.413654919,5.825730068,1.256967725
0,101,639781.2016,3172508.9,1.31,2.71028667,3.44585578,-1.40028667,1.960802758,0.56903216
0,102,653609.1943,3173914.209,1.18,2.417727847,3.28965689,-1.237727847,1.531970223,0.465693011
0,103,659561.792,3175379.544,2.05,2.783491983,2.9632813,-0.733491983,0.538010489,0.181559034
0,104,645986.1005,3175663.35,3.07,0.916398525,3.34832886,2.153601475,4.637999313,1.385168395
0,105,659189.2882,3182763.248,2.29,1.870750978,3.10877051,0.419249022,0.175769742,0.056539954
0,106,647482.8548,3164599.766,2.3,2.583550577,3.90416279,-0.283550577,0.08040093,0.020593642
0,107,638684.2325,3150486.022,5.7,7.401928146,5.87191293,-1.701928146,2.896559414,0.493290593
0,108,661527.4673,3150931.473,2.07,3.487550648,4.7899737,-1.417550648,2.00944984,0.419511664
0,109,668260.737,3155643.928,2.55,3.99495646,2.72960028,-1.44495646,2.087899171,0.764910228
0,110,661854.61,3166636.941,4.4,2.680499901,3.2996809,1.719500099,2.95668059,0.896050461
0,111,673351.6886,3151561.63,2.94,4.029481451,3.8354248,-1.089481451,1.186969832,0.309475454
0,112,669566.7096,3159357.208,6,2.890509477,2.95671842,3.109490523,9.668931313,3.270156281
0,113,686703.037,3184250.406,1.56,2.919466642,5.83685011,-1.359466642,1.848149551,0.316634746
0,114,624417.7363,3262068.674,9.39,5.544634111,4.03727335,3.845365889,14.78683882,3.662580543
0,115,608939.7796,3274991.78,7.8,8.031413976,3.23734618,-0.231413976,0.053552428,0.016542077
0,116,634449.6722,3267879.299,2.04,4.266128692,5.14147002,-2.226128692,4.955648953,0.963858378
0,117,601722.6198,3269844.856,10.97,7.815258271,4.16649099,3.154741729,9.952395377,2.388675603
0,118,620872.3314,3253564.336,10.11,7.408482476,3.7868949,2.701517524,7.298196932,1.92722458
0,119,611715.381,3266399.456,6.28,9.396428394,3.45076076,-3.116428394,9.712125935,2.814488343
0,120,601198.1453,3283230.894,10.2,7.762920948,3.5405293,2.437079052,5.939354306,1.677532878
0,121,621842.1102,3276047.907,2.29,3.776001079,3.05204505,-1.486001079,2.208199207,0.723514617
0,122,656172.5827,3302953.274,13.23,7.703608146,4.35803731,5.526391854,30.54100692,7.007972799
0,123,647177.4636,3282817.193,2.08,6.839006206,5.03317657,-4.759006206,22.64814007,4.499770623
0,124,617768.5129,3279698.668,3.32,4.284705958,2.9731632,-0.964705958,0.930657585,0.313019341
0,125,621219.2554,3283891.534,2.23,2.638223185,3.94510766,-0.408223185,0.166646169,0.042241222
0,126,649888.9484,3291166.438,8.41,6.179815363,4.35297634,2.230184637,4.973723515,1.142602929
0,127,669323.2617,3285439.582,4.98,6.794281493,2.77834827,-1.814281493,3.291617336,1.184738923
0,128,682773.9269,3301449.411,8.58,7.4877235,5.41999036,1.0922765,1.193067952,0.22012363
0,129,673231.6801,3276107.404,4.78,5.777517381,3.54989247,-0.997517381,0.995040925,0.280301709
0,130,678186.7599,3286039.135,6.91,5.704846925,2.57808553,1.205153075,1.452393934,0.563361424
0,131,683233.5483,3289816.122,7.42,6.936415329,3.6382684,0.483584671,0.233854134,0.064276218
0,132,665447.7867,3274758.336,7.36,4.593960146,4.48848758,2.766039854,7.650976474,1.704577842
0,133,666823.5522,3290790.755,7.28,6.475491602,2.86670079,0.804508398,0.647233762,0.225776532
0,134,676593.9292,3293250.57,7.06,6.817135338,2.8334993,0.242864662,0.058983244,0.020816396
0,135,681487.2896,3281472.933,5.4,5.955588879,3.2368142,-0.555588879,0.308679002,0.095365067
0,136,670773.6411,3296085.371,5.26,7.86776046,3.15114091,-2.60776046,6.800414617,2.15808014
0,137,671429.8298,3305795.567,8.14,8.672267514,4.44471278,-0.532267514,0.283308706,0.063740611
0,138,671703.747,3365389.368,4.2,2.331699772,2.42529385,1.868300228,3.490545742,1.439225907
0,139,677308.0824,3365479.342,2.97,2.687842781,3.57067199,0.282157219,0.079612696,0.022296278
0,140,696623.7386,3360267.314,5.23,4.927489911,2.82873323,0.302510089,0.091512354,0.032351002
0,141,691901.9497,3362955.139,7.6,3.793568946,2.74279566,3.806431054,14.48891737,5.282536202
0,142,694055.5753,3369461.587,4.83,6.243502847,3.07846137,-1.413502847,1.997990298,0.649022371
0,143,686132.3156,3372402.817,4.29,4.45730765,3.46582492,-0.16730765,0.02799185,0.008076533
0,144,699717.8078,3366330.039,4.87,7.388638927,3.30220139,-2.518638927,6.343542045,1.92100399
0,145,703999.8203,3372878.282,11.55,5.492254987,5.20441417,6.057745013,36.69627464,7.050990456
0,146,694711.7603,3355150.81,3.09,4.385077928,2.45605289,-1.295077928,1.67722684,0.682895245
0,147,696773.6794,3351953.684,3.61,3.670806473,3.01787209,-0.060806473,0.003697427,0.001225177
0,148,669345.0578,3362580.678,2.21,4.283320208,2.6156182,-2.073320208,4.298656685,1.643457247
0,149,556319.5233,3385420.243,9.95,12.28339563,3.2395664,-2.333395626,5.444735147,1.680698734
0,150,554756.8667,3378485.746,12.86,10.57604093,4.3069501,2.283959074,5.216469052,1.211174713
0,151,537642.248,3357634.234,12.4,9.713432141,4.4050217,2.686567859,7.217646861,1.638504269
0,152,548867.3212,3354908.328,11.87,10.44817318,3.83457763,1.421826824,2.021591517,0.527200571
0,153,555294.9788,3351245.054,8.79,10.65406702,4.58380197,-1.864067017,3.474745844,0.758048857
0,154,539696.4529,3343327.811,8.62,5.78002184,3.49421981,2.83997816,8.065475949,2.308233708
0,155,574180.4878,3458955.887,8.26,8.447446567,3.17660745,-0.187446567,0.035136215,0.011060925
0,156,567302.0498,3459279.053,9.31,9.070656869,3.55906043,0.239343131,0.057285134,0.016095578
0,157,573048.6967,3454360.448,10.45,8.631110413,2.72641158,1.818889587,3.30835933,1.213448239
0,158,537608.8093,3472584.786,7.15,6.108464561,5.21916999,1.041535439,1.084796071,0.207848388
0,159,533231.7285,3486916.94,4.51,7.041452536,3.90882448,-2.531452536,6.408251942,1.639432002
0,160,545803.9913,3415847.219,7.29,11.68370772,6.20683946,-4.393707717,19.3046675,3.110225039
0,161,617724.0706,3415412.909,8.9,9.76859248,2.54537451,-0.86859248,0.754452896,0.296401529
0,162,615065.9332,3420526.037,8.47,8.841066232,3.01494561,-0.371066232,0.137690149,0.045669198
0,163,602083.9194,3417776.639,7.72,7.530817525,6.0091874,0.189182475,0.035790009,0.005955882
0,164,557484.9799,3391583.326,12.75,9.615663954,3.62656847,3.134336046,9.824062449,2.708914096
0,165,575136.0795,3398465.006,8.05,8.786498499,3.21880287,-0.736498499,0.542430039,0.168519186
0,166,570995.0731,3401207.571,8.7,8.844589334,3.53348765,-0.144589334,0.020906076,0.005916555
0,167,596557.5154,3391585.776,7.45,9.224607464,6.41039779,-1.774607464,3.149231651,0.491269303
0,168,544115.4136,3393829.051,9.79,12.7019954,4.02969588,-2.911995398,8.479717198,2.104306988
0,169,550271.9159,3397396.29,11.19,10.42633033,3.51446889,0.76366967,0.583191365,0.165940113
0,170,571703.0729,3414604.392,10.44,8.428162885,5.00250748,2.011837115,4.047488577,0.809091959
0,171,534224.1334,3297600.026,2.06,5.959507442,5.7283105,-3.899507442,15.20615829,2.654562508
0,172,552279.9563,3311059.788,4.63,3.574100203,3.88142544,1.055899797,1.114924381,0.287246116
0,173,553051.0703,3317989.237,3.88,4.428507987,2.73033409,-0.548507987,0.300861012,0.110192014
0,174,557070.1408,3318009.251,5.84,4.081911534,2.95339804,1.758088466,3.090875054,1.046548759
0,175,542411.2266,3332564.371,2.7,3.315738413,2.91195793,-0.615738413,0.379133793,0.130198925
0,176,547393.9579,3325043.23,2.81,3.030748649,3.05954179,-0.220748649,0.048729966,0.01592721
0,177,536560.3773,3337837.768,3.2,5.533958339,3.28048626,-2.333958339,5.447361528,1.660534779
0,178,518011.9113,3280479.697,4.6,8.196056473,6.79721381,-3.596056473,12.93162216,1.902488655
0,179,566807.8102,3302826.759,4.7,4.396331384,2.20184059,0.303668616,0.092214628,0.041880701
0,180,566816.1142,3301441.636,4.16,4.863260877,2.28694202,-0.703260877,0.494575861,0.216260778
0,181,549365.6344,3333209.031,2.51,5.521691158,3.66548029,-3.011691158,9.070283631,2.474514365
0,182,518585.406,3416688.639,12.9,12.07324279,4.36382311,0.826757206,0.683527478,0.15663501
0,183,504782.0002,3410208.87,6.97,10.34246022,4.27783615,-3.372460216,11.37348791,2.658701154
0,184,511696.3954,3403749.59,12.82,9.77520531,3.38891856,3.04479469,9.270774704,2.735614486
0,185,529627.8512,3408093.941,13.7,11.79133995,4.29441703,1.908660046,3.642983171,0.848306801
0,186,522188.6268,3407614.172,14.12,13.43326338,3.2111975,0.686736625,0.471607192,0.146863341
0,187,520743.7488,3398991.796,13.28,12.37048619,3.73596702,0.909513808,0.827215367,0.221419344
0,188,495214.5749,3402512.932,5.83,5.869967846,3.73383537,-0.039967846,0.001597429,0.000427825
0,189,507049.956,3395310.85,9.66,7.83500694,3.62885981,1.82499306,3.330599669,0.917808856
0,190,518313.2719,3389444.518,7.64,11.37779078,3.32471033,-3.737790781,13.97107992,4.202194638
0,191,500133.078,3389428.955,7.12,6.082002654,3.06852986,1.037997346,1.07743849,0.351125307
0,192,509721.1518,3383276.75,7.05,7.312803511,3.85129951,-0.262803511,0.069065685,0.017933086
0,193,535292.3136,3382406.553,13.74,13.07621219,4.89008001,0.663787809,0.440614255,0.09010369
0,194,521791.5876,3380554.679,10.84,9.332659124,3.79776178,1.507340876,2.272076516,0.598267255
0,195,498137.7897,3395431.835,5.57,6.700936495,2.76027616,-1.130936495,1.279017356,0.463365722
0,196,453599.0476,3369673.384,1.74,2.967328863,4.56329704,-1.227328863,1.506336138,0.3300982
0,197,437723.8485,3368367.602,3.95,1.190512124,4.05631568,2.759487876,7.614773338,1.877263492
0,198,456456.1673,3383821.935,1.95,2.620101689,4.05724161,-0.670101689,0.449036274,0.110675261
0,199,475474.2649,3373141.885,1.56,3.966950024,4.93027736,-2.406950024,5.793408418,1.175067444
0,200,448363.082,3322445.848,7.36,9.148603754,4.609253,-1.788603754,3.199103389,0.694061139
0,201,444109.3112,3349678.158,1.48,2.607823252,4.54269391,-1.127823252,1.271985288,0.280006823
0,202,460618.724,3371338.701,2.46,2.020845567,3.87445214,0.439154433,0.192856616,0.049776487
0,203,462782.1506,3325312.002,5.3,8.119279948,4.27957764,-2.819279948,7.948339425,1.857271931
0,204,440749.0936,3360654.73,1.35,2.504964754,3.34607933,-1.154964754,1.333943583,0.398658684
0,205,657535.437,3365020.828,12.64,6.884735278,3.67975943,5.755264722,33.12307202,9.001423232
0,206,659181.2732,3381982.19,5.98,7.367302333,2.6342117,-1.387302333,1.924607763,0.730620004
0,207,656984.7439,3386415.382,8.47,7.105898064,2.61366791,1.364101936,1.860774092,0.711939755
0,208,670022.9773,3370444.423,1.71,3.750652868,2.54592706,-2.040652868,4.164264128,1.635657279
0,209,624022.7892,3368897.439,8.03,6.887552338,6.27852035,1.142447662,1.30518666,0.20788125
0,210,665931.4509,3371058.597,4.1,4.255218421,2.655781,-0.155218421,0.024092758,0.009071817
0,211,657795.0652,3358157.423,8.13,9.786512592,4.43492807,-1.656512592,2.744033967,0.618732463
0,212,665713.2835,3364372.514,3.32,5.482018737,2.77063647,-2.162018737,4.674325019,1.687094308
0,213,665445.2037,3381922.304,5.46,3.353279843,2.96030189,2.106720157,4.43826982,1.49926257
0,214,647018.5202,3442630.152,1.84,3.255339875,3.43517505,-1.415339875,2.003186962,0.583139704
0,215,650132.0444,3447293.464,1.92,3.056927084,3.18080105,-1.136927084,1.292603194,0.406376625
0,216,634955.0948,3453555.475,4.83,3.378083316,3.00926904,1.451916684,2.108062057,0.700522961
0,217,647704.581,3454188.525,2.21,3.890889086,3.70427524,-1.680889086,2.825388119,0.762737091
0,218,637643.1744,3460519.305,6.04,2.562696682,3.02872744,3.477303318,12.09163837,3.992316445
0,219,630893.4663,3460894.965,2.15,4.184028106,2.73790097,-2.034028106,4.137270336,1.511110293
0,220,633195.3685,3467082.986,2.59,3.841477564,3.33088787,-1.251477564,1.566196093,0.470203788
0,221,626452.0201,3467307.407,2.68,3.43155189,3.67609149,-0.75155189,0.564830243,0.15364967
0,222,635980.9243,3414767.637,11.15,12.24201169,3.36145273,-1.092011692,1.192489535,0.354754218
